,Nom et prénom,Numéro de téléphone,Service proposé,lowerplot
91,Noémi Joseph,0660709819,Organisation de voyages adaptés pour les personnes à mobilité réduite,organisation voyage adaptés personnes mobilité_réduite
92,Grégoire Barbier,0694928707, garde pour animaux de compagnie,garde animaux_compagnie
93,Joseph-Gilbert Leconte,0615378479,Assistance pour les tâches administratives et fiscales,assistance tâches_administratives fiscales
94,Eugène Rodrigues,0694319437," Apprentissage d'une nouvelle langue : anglais, portugais, espagnol, italien",apprentissage dune nouvelle langue anglais portugais espagnol italien
95,Patrick de la Maillard,0678674287,coach en développement personnel et professionnel,coach développement personnel professionnel
96,Alexandria Faivre-Mahe,0643209013,Accompagnement pour la recherche d'un emploi ou d'un stage,accompagnement recherche dun emploi dun stage
97,Nathalie Benard du Devaux,0676695045, conciergerie pour les personnes âgées,conciergerie personnes âgées
98,Élisabeth Paul,0674420943, la planification et l'organisation d'événements,planification lorganisation dévénements
99,Benoît Bazin-Blanchard,0654094047, tutorat pour les enfants ayant des difficultés scolaires,tutorat enfants difficultés scolaires
100,Corinne de la Bouvier,0647599741, Recherche de logement et d'aménagement,recherche logement_daménagement
101,Roger Bourgeois,0610894776, la gestion de la vie quotidienne pour les personnes atteintes de troubles mentaux,gestion vie quotidienne personnes atteintes_trouble mentaux
102,Bertrand Vallee,0669223752,Organisation de programmes de bien-être pour les entreprises,organisation programme bienêtre entreprises
103,Hugues Cohen,0695529132, traduction et d'interprétation pour les personnes parlant une langue étrangère,traduction dinterprétation personnes parlant_langue étrangère
104,Denis Perrin,0694298679,Gestion de la transition vers la vie d'étudiant pour les lycéens,gestion transition_vers vie détudiant_lycéens
105,Martine Jacquot,0617858170, coach pour les artistes et les créatifs,coach artiste_créatifs
106,Étienne Ramos-Chartier,0652256539,organisation de voyages culinaires pour les gourmets,organisation voyage culinaires_gourmet
107,Éric Techer,0626875715, design et décoration d'intérieur,design décoration dintérieur
108,Jean Noel,0651433012, la gestion de l'identité numérique pour les personnes soucieuses de leur réputation en ligne,gestion lidentité_numérique personnes soucieuses_réputation ligne
109,Valentine Le Roux,0649691161, gestion de projet pour les entrepreneurs et les indépendants,gestion projet entrepreneur indépendants
110,Josette-Noémi Cohen,0668697140,Accompagnement pour les personnes qui cherchent à adopter un mode de vie plus sain,accompagnement personnes cherchent adopter_mode vie plus sain
111,Michèle Blin,0616191855, conciergerie pour les professionnels très occupés,conciergerie professionnels très_occupés
112,Suzanne Richard,0667019950,Gestion des réseaux sociaux pour les marques et les influenceurs,gestion réseaux_sociaux marque influenceurs
113,Grégoire Poulain,0629817592, conseil pour les investissements financiers,conseil investissements_financier
114,Sophie Menard,0688553972,Recherche et achat de produits écoresponsables,recherche achat produits écoresponsables
115,Étienne Lemoine de la Menard,0632705714, traduction de documents pour les entreprises internationales,traduction document entreprises internationale
116,Catherine de Brun,0605137570, la préparation de dossiers de candidature pour les études supérieures,préparation_dossier candidature_études supérieures
117,Aurélie Marie,0632564779,Organisation de séances de photoshoot pour les blogueurs et les influenceurs,organisation séances_photoshoot blogueurs_influenceurs
118,Arnaude-Margaret Da Silva,0651799151,coach en relations amoureuses et en communication,coach relation_amoureuses communication
119,Hortense Marques,0604506581,Assistance à la planification de projets de construction et de rénovation,assistance planification projets_construction rénovation
120,Gabriel Blanchet-Garcia,0638424106,Organisation de voyages d'affaires,organisation voyage daffaires
121,Michel Lemonnier,0622097560, Recherche de stages à l'étranger,recherche stage létranger
122,Daniel Legros,0697604471,Gestion de la logistique pour les événements d'entreprise,gestion logistique événements dentreprise
123,Étienne-Emmanuel Hubert,0608597950,Recherche de formations professionnelles pour les adultes,recherche formation professionnelles_adultes
124,Grégoire Barthelemy de Morin,0692463338,Soutien scolaire en ligne pour les étudiants à distance,soutien scolaire ligne étudiants distance
125,daisy Bonnet,0615004259,Recherche d'activités de loisirs pour les enfants et les adolescents,recherche dactivités_loisirs enfants adolescent
126,Anaïs Blanchet,0614422218,Conseil en marketing digital pour les startups,conseil marketing_digital startup
127,Franck Roger,0637813676, Recherche de programmes de bénévolat à l'étranger,recherche programme bénévolat_létranger
128,Yves-Matthieu Potier,0634591663,Gestion de la comptabilité pour les petites entreprises,gestion comptabilité petite entreprises
129,René Evrard,0686759384,Recherche de programmes de formation en ligne,recherche programme formation ligne
130,Hélène Guilbert,0662334793,coach en entrepreneuriat pour les nouveaux chefs d'entreprise,coach entrepreneuriat_nouveaux chef_dentreprise
131,Marianne Robert,0605884162,Assistance à la recherche de stages pour les étudiants de l'enseignement supérieur,assistance recherche stage étudiants lenseignement_supérieur
132,Sabine Fernandez,0640900496,coach de vie pour   à atteindre ses objectifs personnels et professionnels,coach vie atteindre_objectifs personnel professionnels
133,Étienne Courtois,0673771707,Accompagnement pour les personnes atteintes de troubles de l'autisme,accompagnement personnes atteintes_trouble lautisme
134,Michel Levy,0642071419,Covoiturage pour les personnes âgées qui doivent aller chez le médecin,covoiturage personnes âgées doivent aller chez médecin
135,Nicolas Dupuy,0681304170,Soins palliatifs à domicile,soins palliatifs domicile
136,Nath Caron,0609097897,Consultant en organisation pour   les personnes à organiser leur maison ou leur espace de travail,consultant organisation personnes organiser maison espace travail
137,Gérard Petit,0624444313,Conseiller financier pour   les personnes à gérer leur argent,conseiller financier personnes gérer argent
138,Martin Moulin-Bodin,0667414924,Mentorat pour les jeunes à risque,mentorat_jeunes risque
139,Danielle Guibert,0604712927,Coach en nutrition pour que personnes adoptent une alimentation plus saine,coach nutrition personnes adoptent alimentation plus saine
140,Christophe Leclercq,0645482220,Nettoyage de vitres pour les personnes ayant des difficultés de mobilité,nettoyage_vitres personnes difficultés mobilité
141,Patrick Reynaud,0678109693,Massage à domicile,massage domicile
142,Sébastien Breton,0696879951,Accompagnement pour les personnes en fin de vie,accompagnement personnes fin vie
143,Maurice Neveu,0617754401,Préparation de repas personnalisés,préparation repas personnalisés
144,Lucas Leger,0661579917,Conciergerie pour les personnes occupées,conciergerie personnes occupées
145,Inès Alexandre,0609667018,Un coach sportif pour se remettre en forme.,coach sportif remettre forme
146,Olivie Charpentier,0665178191,Livraison de médicaments à domicile,livraison médicaments domicile
147,Robert Dupont-Benoit,0666116903,Promenade de chiens pour les personnes ne pouvant plus le faire elles-mêmes,promenade_chiens personnes pouvant plus faire ellesmêmes
148,Patrick Gilles de Blot,0605946368,Lecture pour les personnes malvoyantes,lecture personnes malvoyantes
149,Franck Evrard,0627257198,Soutien scolaire à domicile pour les enfants en difficulté,soutien scolaire domicile enfants difficulté
150,Antoinette Guyon-Fischer,0680079571,Accompagnement aux démarches administratives,accompagnement démarches administratives
151,Lucas Le Masson,0640913659,Organisation de voyages pour les personnes âgées,organisation voyage personnes âgées
152,Arthur Jacques de Mercier,0673958602,Jardinage pour les personnes ayant des difficultés physiques,jardinage personnes difficultés physique
153,Mathilde-Margaux Arnaud,0658412986,Préparation à la retraite,préparation retraite
154,Grégoire Marechal,0682292922,Recherche de logement pour les personnes ayant des difficultés,recherche logement personnes difficultés
155,Gabriel Maillet-Devaux,0664267937,Application mobile pour trouver des lieux accessibles,application mobile trouver lieux accessibles
156,Timothée Diallo,0676566509,Taxi,taxi
157,Thérèse Laroche,0660399949,Location de fauteuils roulants électriques pour une journée,location fauteuil roulants électriques journée
158,Jérôme Collet-Carre,0622807618,Livraison à domicile pour les personnes handicapées,livraison domicile personnes handicapées
159,Étienne Dos Santos,0680553918,Location de vélos adaptés,location vélos adaptés
160,Audrey Lefevre,0601256894,Voitures avec des équipements spéciaux,voitures équipements spéciaux
161,Susan Chevallier,0666426027,Consultations en ligne pour les personnes atteintes de troubles sensoriels,consultations ligne personnes atteintes_trouble sensoriels
162,Frédéric Begue du Sanchez,0628693065,Accompagnement pour les rendez-vous médicaux,accompagnement rendezvous_médicaux
163,Christelle Begue,0668706510,Traduction en langue des signes pour les événements publics,traduction langue signes événements public
164,Lucie Verdier,0625462478,Système de signalisation lumineuse pour les personnes atteintes de déficience visuelle,système signalisation lumineuse personnes atteintes déficience visuelle
165,Louis Martin,0607742911,Livraison de repas à domicile adapté aux régimes alimentaires spéciaux,livraison repas domicile adapté régimes_alimentaires spéciaux
166,Marianne Marchand,0633648863,Programme de remise en forme pour les personnes handicapées,programme remise_forme personnes handicapées
167,Tristan Duhamel,0682215672,Conseil en matière de technologie d'assistance,conseil matière technologie dassistance
168,Christelle Weiss,0664625274,Nettoyage à domicile pour les personnes handicapées,nettoyage domicile personnes handicapées
169,Alex Sanchez Le Laurent,0681544437,Mentorat pour les personnes handicapées,mentorat personnes handicapées
170,Thibault Lecomte-Labbe,0645827658,Traduction pour les personnes atteintes de troubles de la communication,traduction personnes atteintes_trouble communication
171,Bernadette Leleu,0655422994,Soutien pour l'éducation des enfants handicapés,soutien léducation enfants handicapés
172,Pénélope Millet,0694965995,Formation professionnelle pour les personnes handicapées,formation professionnelle personnes handicapées
173,Dorothée-Suzanne Marques,0689008713,Planification de voyage pour les personnes handicapées,planification voyage personnes handicapées
174,Anaïs-daisy Diaz,0676296644,"Tâches quotidiennes, telles que faire les courses et la lessive",tâches quotidiennes_telles faire course lessive
175,Antoine Millet,0687680072,Location de voitures adaptées pour les voyages,location voitures adaptées voyage
176,Vincent Breton,0691097264,Préparation de repas pour les personnes handicapées,préparation repas personnes handicapées
177,Sabine Normand de Guillaume,0694253268,Gestion de la médication pour les personnes atteintes de troubles mentaux,gestion médication personnes atteintes_trouble mentaux
178,Benoît Reynaud Le Mendes,0608864929,Remplacement de prothèse en urgence,remplacement prothèse urgence
179,Éric Garcia,0612496320,Déplacement pour les personnes en fauteuil roulant,déplacement personnes fauteuil roulant
180,Alexandria Maillet,0668433592,Programme de loisirs pour les personnes handicapées,programme loisirs personnes handicapées
181,René Fischer,0636214530,Coordination de soins de santé pour les personnes atteintes de maladies chroniques,coordination soins santé personnes atteintes malady_chroniques
182,Gilles Meyer,0642820951,Conseils juridiques pour les personnes handicapées,conseils juridiques personnes handicapées
183,Bernadette Martinez-Vallet,0602974633,Consultations en nutrition pour les personnes atteintes de troubles alimentaires,consultations nutrition personnes atteintes_trouble alimentaires
184,Éléonore Nicolas,0614617568,Conseil pour les personnes atteintes de troubles de l'humeur,conseil personnes atteintes_trouble lhumeur
185,Martine Fournier,0642665308,Soutien pour les aidants naturels,soutien aidants naturels
186,Marine Duval,0638800045,Formation pour les employeurs sur la manière de travailler avec des personnes handicapées,formation employeurs manière travailler personnes handicapées
187,Jacques Didier,0617007252,Coordination pour les projets de construction d'immeubles accessibles,coordination projets_construction dimmeubles accessibles
188,Margaret-Renée Hardy,0670236458,Conseils en matière d'accessibilité pour les organisations,conseils matière daccessibilité organisation
189,Patricia Jacquot du Maillard,0618731452,Conseils en matière de financement pour les personnes handicapées,conseils matière financement personnes handicapées
190,André Collet,0694754396,Soutien émotionnel pour les personnes atteintes de maladies chroniques,soutien émotionnel personnes atteintes malady_chroniques
191,Julien Buisson-Masson,0699995299,Navigation pour les personnes atteintes de troubles cognitifs,navigation personnes atteintes_trouble cognitifs
192,Jacques Charpentier,0625703373,Mentorat pour les jeunes handicapés,mentorat_jeunes handicapés
193,Caroline Carre,0636875288,Conseils en matière de sécurité pour les personnes handicapées,conseils matière sécurité personnes handicapées
194,Patrick Poirier,0624962144,Consultation pour les personnes atteintes de déficience auditive,consultation personnes atteintes déficience auditive
195,Monique Rossi,0660995692,Transport adapté pour les événements publics,transport adapté événements public
196,Gilles Regnier Le Chauveau,0651385469,Conseils en matière de développement de carrière pour les personnes handicapées,conseils matière développement carrière personnes handicapées
197,Adèle Pascal,0694560886,Coordination pour les programmes de formation pour les travailleurs handicapés,coordination programme formation travailleurs handicapés
198,daisy-Noémi Cousin,0697552907,Soutien pour les personnes atteintes de troubles du sommeil,soutien personnes atteintes_trouble sommeil
199,Valérie Denis,0605161393,Adaptation de domicile,adaptation domicile
200,Olivier Bertrand,0697014819,coach en relations amoureuses et en communication,coach relation_amoureuses communication
201,Marcel-Jérôme Ferrand,0600087002,Planification de projets de construction et de rénovation,planification projets_construction rénovation
202,Adrienne de Hubert,0665524957,Planification de voyages d'affaires,planification voyage daffaires
203,Jacques Lemonnier,0621471725,Recherche de stages à l'étranger,recherche stage létranger
204,Grégoire-Aimé Baudry,0663163644,Gestion de la logistique pour les événements d'entreprise,gestion logistique événements dentreprise
205,Mathilde de Lejeune,0601546632,Recherche de formations professionnelles pour les adultes,recherche formation professionnelles_adultes
206,Thierry Marion,0673901006,Soutien scolaire en ligne pour les étudiants à distance,soutien scolaire ligne étudiants distance
207,Geneviève Peltier,0642040867,Recherche d'activités de loisirs pour les enfants et les adolescents,recherche dactivités_loisirs enfants adolescent
208,Capucine Potier,0642729771,Conseil en marketing digital pour les startups,conseil marketing_digital startup
209,Marie Fernandes,0651194539,Recherche de programmes de bénévolat à l'étranger,recherche programme bénévolat_létranger
210,Alexandre de Albert,0628280648,Gestion de la comptabilité pour les petites entreprises,gestion comptabilité petite entreprises
211,Éric Giraud,0698038157,Recherche de programmes de formation en ligne,recherche programme formation ligne
212,Michelle Gaillard,0644997946,coach en entrepreneuriat pour les nouveaux chefs d'entreprise,coach entrepreneuriat_nouveaux chef_dentreprise
213,Susan Dijoux-Imbert,0605617806,Recherche de stages pour les étudiants de l'enseignement supérieur,recherche stage étudiants lenseignement_supérieur
214,Roger Aubert-Ferreira,0642072880,coach de vie pour atteindre des objectifs personnels et professionnels,coach vie atteindre_objectifs personnel professionnels
215,Arthur Martel Le Marin,0697099324,Accompagnement pour les personnes atteintes de troubles de l'autisme,accompagnement personnes atteintes_trouble lautisme
216,Alphonse Valette-Baudry,0690158838,Tutorat pour les enfants ayant des difficultés scolaires,tutorat enfants difficultés scolaires
217,Gérard Bonnet,0687791752,Recherche de logement et d'aménagement,recherche logement_daménagement
218,Gérard Lefebvre,0629580435,Gestion de la vie quotidienne,gestion vie quotidienne
219,Nathalie Renault,0632404351,Organisation de programmes de bien-être pour les entreprises,organisation programme bienêtre entreprises
220,Gabriel Hernandez,0632281037,Traduction et d'interprétation pour les personnes parlant une langue étrangère,traduction dinterprétation personnes parlant_langue étrangère
221,Charlotte Thibault,0643450068,Gestion de la transition vers la vie d'étudiant pour les lycéens,gestion transition_vers vie détudiant_lycéens
222,Léon Allain,0650759557,coach pour les artistes et les créatifs,coach artiste_créatifs
223,Jeannine Huet,0697177417, l'organisation de voyages culinaires pour les gourmets,lorganisation voyage culinaires_gourmet
224,Laurence Maillot,0686047801,Design et de décoration d'intérieur,design décoration dintérieur
225,Eugène Charpentier,0669947140,Gestion de l'identité numérique pour les personnes soucieuses de leur réputation en ligne,gestion lidentité_numérique personnes soucieuses_réputation ligne
226,Diane-Nicole Klein,0629107776,Gestion de projet pour les entrepreneurs et les indépendants,gestion projet entrepreneur indépendants
227,Lorraine Garcia,0677873828,Accompagnement pour adopter un mode de vie plus sain,accompagnement adopter_mode vie plus sain
228,Gérard du Jourdan,0626907008,Conciergerie pour les professionnels très occupés,conciergerie professionnels très_occupés
229,Henri Parent Le Marques,0640535919,Gestion des réseaux sociaux pour les marques et les influenceurs,gestion réseaux_sociaux marque influenceurs
230,Roland-Rémy Poirier,0636287715,Conseil pour les investissements financiers,conseil investissements_financier
231,Adélaïde du Lamy,0684401753, la recherche et à l'achat de produits écoresponsables,recherche lachat produits écoresponsables
232,Manon-Juliette Perez,0626489850,Traduction de documents pour les entreprises internationales,traduction_document entreprises internationale
233,Chantal-Laetitia Pascal,0615024414, la préparation de dossiers de candidature pour les études supérieures,préparation_dossier candidature_études supérieures
234,Thérèse Le Delahaye,0641842372,Organisation de séances de photoshoot pour les blogueurs et les influenceurs,organisation séances_photoshoot blogueurs_influenceurs
235,Gérard Le Marin,0612304811,Distributeur de flyers,distributeur_flyer
236,Camille-Julie Laporte,0674482207,Livreur de colis,livreur colis
237,Laure Jacquot,0623456398,Animateur de fêtes d'anniversaire pour enfants,animateur fêtes_danniversaire enfants
238,Aimé Rousseau-Weber,0618534729,Caissier,caissier
239,Zacharie Le Bigot,0640495073,Serveuse,serveuse
240,Gilles Lefebvre Le Mace,0608670838,Baby-sitter,babysitter
241,Bernadette Jacques,0607475054,Agent d'entretien,agent dentretien
242,Noël Gaudin,0627105589,Réceptionniste,réceptionniste
243,Denis De Sousa du Texier,0690338123,Assistant administratif,assistant administratif
244,Stéphane Andre de la Camus,0643553985,Manutentionnaire,manutentionnaire
245,Lucy Leblanc,0673017742,Préparateur  de commandes,préparateur_commandes
246,Timothée Le Hebert,0634361445,Opérateur de saisie,opérateur_saisie
247,Michel Germain,0670218819,Téléconseiller,téléconseiller
248,Nathalie Bailly-Pons,0669424067, domicile pour personnes âgées ou handicapées,domicile personnes âgées handicapées
249,Virginie Ferreira,0687540363,Agent de sécurité,agent sécurité
250,Nicolas du Peltier,0649478312,Conductrice de bus scolaire,conductrice bus scolaire
251,Josette de la Duval,0659114473,Facteur,facteur
252,Georges Labbe,0650487756,Agent de nettoyage industriel,agent nettoyage industriel
253,Aimé Collet Le Bailly,0675909224,Agent d'accueil dans un musée ou un monument historique,agent daccueil musée monument historique
254,Gérard Leger,0611008861,Vendeur en magasin,vendeur magasin
255,Michelle Carpentier de Pons,0633636529,Agent de billetterie,agent billetterie
256,Alexandre Bonnin,0653841039,Employé de restauration rapide,employé restauration rapide
257,Sabine Le Gall,0689342343,Télévendeuse,télévendeuse
258,Aimée de la Duhamel,0655742397,Opérateur de production,opérateur production
259,Cécile Moreno,0601071355,Agent de maintenance,agent maintenance
260,Catherine Lopes,0678244862,animatrice en centre de loisirs,animatrice centre loisirs
261,Capucine de Carlier,0697347443,Caissier dans une station-service,caissier stationservice
262,Alice Becker,0666522294,Gardien  de parking,gardien parking
263,Thibaut-Bernard Barbe,0619329222,Mannequin photo,mannequin photo
264,Joséphine Potier,0615545895,Hôtessed'accueil en entreprise,hôtessedaccueil entreprise
265,Eugène Ruiz,0630864084,Agent de collecte des déchetsopératrice de machine,agent collecte déchetsopératrice machine
266,Marc Robert-Perrot,0659004739,Agent de tri et de conditionnement,agent tri conditionnement
267,Cécile Guillou-Lambert,0659961959,Employé de ménage,employé ménage
268,Célina Remy,0613932530,Agent de sécurité incendie,agent sécurité incendie
269,Amélie Gaudin,0601042734,Employé de libre-service,employé libreservice
270,Alexandria Lesage,0668745582,Animatrice de vente,animatrice vente
271,Maryse Ruiz,0662472056,Standardiste,standardiste
272,Alfred Barbe,0639404409,Coursier à vélo ou en scooter,coursier vélo scooter
273,Robert-Marc Brunet,0653733536,Employé polyvalent en restauration,employé polyvalent restauration
274,Claude Costa,0693462985,Entretien ménager,entretien_ménager
275,Laetitia Legendre,0669078664,Dresseur de cheval,dresseur cheval
276,Stéphane Besnard,0602452990,Pour vous cuisiner de bons petits plats,cuisiner bons petits plat
277,Bernadette Fontaine de Thibault,0624316221,Coiffeur à domicile,coiffeur domicile
278,Claire Munoz,0679337928,Chef de rang,chef rang
279,Dominique de Jean,0694816931,Employé de pressing,employé_pressing
280,Marc Raynaud,0653502476,Guide touristique,guide touristique
281,Geneviève Lecomte,0684080900,Agent d'entretien des espaces verts,agent dentretien espaces verts
282,Pierre Etienne,0663254580,Agent de tri des déchets recyclables,agent tri déchets recyclables
283,Georges Barbe,0605624249,Magasinier,magasinier
